municipal,NEIGHBORHOOD
Pittsburgh-107,Larimer
Pittsburgh-102,Larimer
Pittsburgh-127,Upper Lawrenceville
Pittsburgh-113,Bedford Dwellings
Pittsburgh-101,Mt. Oliver Boro
Bellevue,Central Business District
Mt Lebanon,Point Breeze
Dormont,East Allegheny
Pittsburgh-105,Mt. Oliver Boro
Pittsburgh-115,Marshall-Shadeland
Pittsburgh-109,Perry South
Robinson,North Shore
Pittsburgh-112,Bon Air
Pittsburgh-119,Bedford Dwellings
West Mifflin,Arlington
Pittsburgh-124,Upper Lawrenceville
Etna,Bloomfield
Pittsburgh-107,Bon Air
Castle Shannon,Middle Hill
Pittsburgh-101,Larimer
Pittsburgh-115,Bedford Dwellings
Upper St Clair,Sheraden
Pittsburgh-119,Spring Hill-City View
Penn Hills,Beechview
Pittsburgh-104,Stanton Heights
Mccandless,Northview Heights
Pittsburgh-119,East Allegheny
Ohio,Northview Heights
O'Hara,Northview Heights
Pittsburgh-117,Upper Hill
Plum,Lincoln-Lemington-Belmar
Pittsburgh-114,Bedford Dwellings
Ross,Upper Lawrenceville
Pittsburgh-106,Central Oakland
Whitehall,Outside City
Pittsburgh-129,Summer Hill
Pittsburgh-116,Summer Hill
Brentwood,Lincoln-Lemington-Belmar
Pittsburgh-118,Summer Hill
Pittsburgh-121,Hazelwood
Mt Oliver,Summer Hill
Mt Lebanon,Middle Hill
Shaler,Garfield
Baldwin Boro,Lincoln-Lemington-Belmar
Pittsburgh-122,Upper Lawrenceville
Mt Lebanon,East Allegheny
Pittsburgh-120,East Allegheny
Pittsburgh-126,Elliott
Pittsburgh-132,Spring Hill-City View
Indiana,Northview Heights
Franklin Park,Northview Heights
Ross,Northview Heights
O'Hara,East Allegheny
Pittsburgh-128,North Shore
Reserve,Upper Lawrenceville
Pittsburgh-120,Perry South
Scott,Banksville
Scott,Arlington
Ross,Brighton Heights
Mt Lebanon,Banksville
Bethel Park,Middle Hill
Aspinwall,East Allegheny
Pleasant Hills,Outside City
Pittsburgh-131,Marshall-Shadeland
Greentree,Arlington
Pittsburgh-123,Upper Lawrenceville
Pittsburgh-120,Arlington
Upper St Clair,Point Breeze
Pittsburgh-108,Perry South
Baldwin Boro,Outside City
Pittsburgh-119,Mt. Oliver Boro
West Mifflin,Outside City
South Park,Outside City
Ingram,North Shore
Sharpsburg,East Allegheny
Avalon,Central Business District
Ben Avon Hgts,Central Business District
Pittsburgh-102,Mt. Oliver Boro
Neville,Perry South
Shaler,Bloomfield
West View,Brighton Heights
Ross,Central Business District
Pittsburgh-122,Hazelwood
Blawnox,Northview Heights
Wilkinsburg,Spring Hill-City View
Pittsburgh-112,Bedford Dwellings
Pittsburgh-110,Central Oakland
Millvale,Garfield
Ross,Elliott
Braddock Hills,Spring Hill-City View
Whitehall,Lincoln-Lemington-Belmar
Crafton,North Shore
Wilkins,Beechview
Pittsburgh-111,Bon Air
Swissvale,Central Business District
Edgewood,Spring Hill-City View
Wilkins,Spring Hill-City View
Pittsburgh-114,Spring Hill-City View
Pittsburgh-113,Spring Hill-City View
Pittsburgh-114,Stanton Heights
Pittsburgh-108,Bon Air
Pittsburgh-117,Mt. Oliver Boro
Mt Lebanon,Spring Hill-City View
Pittsburgh-116,Upper Hill
Greentree,North Shore
Pittsburgh-109,Central Oakland
Pittsburgh-117,Summer Hill
Pittsburgh-106,Mt. Oliver Boro
Emsworth,Central Business District
Pittsburgh-103,Mt. Oliver Boro
Pittsburgh-118,Bedford Dwellings
Pittsburgh-112,Northview Heights
Ross,Garfield
Pittsburgh-129,Lincoln-Lemington-Belmar
Kilbuck,Northview Heights
Pittsburgh-132,Middle Hill
Jefferson,Outside City
Pittsburgh-130,Summer Hill
Edgewood,Central Business District
Harmar,Northview Heights
Pittsburgh-110,Bon Air
Pittsburgh-108,Stanton Heights
Kilbuck,Central Business District
Pittsburgh-107,Stanton Heights
Bethel Park,Sheraden
Fox Chapel,Northview Heights
Forest Hills,Spring Hill-City View
Pittsburgh-105,Stanton Heights
Pittsburgh-104,Mt. Oliver Boro
Pittsburgh-107,Perry South
Pittsburgh-121,Bloomfield
Upper St Clair,Banksville
Findlay,Outside City
Pittsburgh-125,Hazelwood
Pittsburgh-110,Perry South
North Fayette,Outside City
Pittsburgh-108,Larimer
Pittsburgh-132,Summer Hill
Whitehall,Middle Hill
Pittsburgh-121,Upper Lawrenceville
Pittsburgh-128,Arlington
Baldwin Twp,Spring Hill-City View
Plum,Beechview
Pittsburgh-125,Upper Lawrenceville
Pittsburgh-114,Larimer
Churchill,Beechview
Churchill,Spring Hill-City View
Pittsburgh-126,Upper Lawrenceville
Kennedy,North Shore
Pittsburgh-112,East Allegheny
Mt Lebanon,Arlington
Pittsburgh-120,North Shore
Pittsburgh-101,Stanton Heights
Bethel Park,Outside City
Pittsburgh-106,Larimer
Ben Avon,Central Business District
Pleasant Hills,Arlington
Shaler,East Allegheny
Pittsburgh-128,Perry South
Pittsburgh-131,Lincoln-Lemington-Belmar
Pittsburgh-113,Beechview
Pittsburgh-114,Bon Air
Reserve,Elliott
Pittsburgh-101,Golden Triangle/Civic Arena
Ross,Larimer
Collier,North Shore
Pittsburgh-120,Northview Heights
Pittsburgh-118,Upper Hill
Pittsburgh-104,Perry South
Scott,East Allegheny
Thornburg,North Shore
Pittsburgh-122,Larimer
Crafton,Perry South
Pittsburgh-109,Upper Lawrenceville
Shaler,Hazelwood
Pittsburgh-124,Larimer
Mccandless,Central Oakland
Oakmont,Lincoln-Lemington-Belmar
Greentree,Spring Hill-City View
North Braddock,Spring Hill-City View
Pittsburgh-125,Elliott
Moon,Outside City
South Park,Mt. Oliver Boro
Etna,Central Oakland
Pittsburgh-112,Beechview
Scott,Sheraden
Pittsburgh-101,Summer Hill
Mccandless,Middle Hill
Pittsburgh-103,East Allegheny
Pittsburgh-114,Central Business District
Baldwin Twp,Middle Hill
West Mifflin,Larimer
Pennsbury Village,North Shore
Pittsburgh-113,Outside City
Pittsburgh-108,Mt. Oliver Boro
Pittsburgh-116,Stanton Heights
Pittsburgh-109,Larimer
Pittsburgh-118,Spring Hill-City View
Pittsburgh-115,East Allegheny
Pittsburgh-107,Bedford Dwellings
Pittsburgh-132,Lincoln-Lemington-Belmar
Carnegie,Bon Air
Pittsburgh-109,Brighton Heights
Pleasant Hills,Northview Heights
Pittsburgh-120,Stanton Heights
Pittsburgh-106,Bon Air
Plum,Northview Heights
Pittsburgh-108,Upper Hill
Monroeville,Lincoln-Lemington-Belmar
Pittsburgh-121,Central Oakland
Pittsburgh-121,Beechview
Pittsburgh-113,Bon Air
Shaler,Perry South
Pittsburgh-110,Northview Heights
South Fayette,Sheraden
Pittsburgh-109,Garfield
Pittsburgh-112,Mt. Oliver Boro
Pittsburgh-106,Perry South
Pittsburgh-120,Larimer
Pittsburgh-105,Elliott
Pittsburgh-104,Bedford Dwellings
Jefferson,North Shore
Pittsburgh (All),Perry South
Pittsburgh-102,East Allegheny
Pittsburgh-113,Garfield
Pittsburgh-127,Hazelwood
Pittsburgh-108,Upper Lawrenceville
Bethel Park,Banksville
Etna,Hazelwood
Pittsburgh-123,Larimer
Baldwin Boro,Bedford Dwellings
North Fayette,East Allegheny
Homestead,Summer Hill
