ZipCode,INCIDENTNEIGHBORHOOD
15213,Bloomfield
15205,Outside City
15238,Westwood
15212,East Allegheny
15205,Crafton Heights
15219,Greenfield
15226,Brookline
15219,Regent Square
15206,East Liberty
15210,Carrick
15203,Crafton Heights
15212,Allegheny Center
15203,South Side Flats
15204,Sheraden
15233,South Side Flats
15219,East Carnegie
15222,Golden Triangle/Civic Arena
15219,Point Breeze North
15214,Perry South
15219,South Side Flats
15233,Allentown
15210,Allentown
15219,Golden Triangle/Civic Arena
15212,North Shore
15212,Marshall-Shadeland
15219,Central Oakland
15219,Middle Hill
15222,Strip District
15219,Lincoln-Lemington-Belmar
15219,Central Northside
15219,Troy Hill-Herrs Island
15206,Highland Park
15208,Homewood North
15219,Northview Heights
15219,Brighton Heights
15233,Bloomfield
15207,Hazelwood
15219,Perry North
15219,Homewood North
15219,Bedford Dwellings
15220,Elliott
15216,Beechview
15221,East Hills
15219,East Allegheny
15219,Fineview
15203,Carrick
15207,Glen Hazel
15219,Spring Hill-City View
15219,Marshall-Shadeland
15212,Central Northside
15221,Bluff
15219,Carrick
15219,Beechview
15233,Manchester
15206,Homewood West
15233,Outside County
15221,Point Breeze
15208,Homewood West
15221,Homewood South
15217,Squirrel Hill South
15212,Northview Heights
15219,Terrace Village
15212,Spring Hill-City View
15224,Bloomfield
15238,Lincoln-Lemington-Belmar
15201,Upper Lawrenceville
15210,Arlington
15210,South Side Slopes
15219,Bluff
15220,Crafton Heights
15219,Homewood South
15224,Lower Lawrenceville
15224,Garfield
15208,Homewood South
15207,Lincoln Place
15219,Elliott
15219,Allegheny Center
15208,Point Breeze North
15206,Larimer
15206,Westwood
15212,Fineview
15214,Northview Heights
15211,Mount Washington
15219,California-Kirkbride
15219,Bloomfield
15216,Banksville
15216,Bon Air
15219,South Shore
15219,Hazelwood
15214,Fineview
15206,Lincoln-Lemington-Belmar
15203,South Side Slopes
15219,Mount Washington
15206,Bloomfield
15210,Bon Air
15219,Beltzhoover
15220,Golden Triangle/Civic Arena
15219,Strip District
15201,Sheraden
15210,Knoxville
15219,Sheraden
15227,Carrick
15207,Greenfield
15215,Lincoln-Lemington-Belmar
15219,Chateau
15219,Crawford-Roberts
15219,Polish Hill
15219,Fairywood
15220,West End
15232,Shadyside
15210,North Shore
15219,North Shore
15219,Knoxville
15213,Central Oakland
15212,Golden Triangle/Civic Arena
15212,Morningside
15206,Garfield
15206,Homewood South
15219,Overbrook
15222,Carrick
15229,Troy Hill-Herrs Island
15227,East Liberty
15219,Friendship
15222,Outside City
15212,Brighton Heights
15219,West End
15219,North Oakland
15219,Shadyside
15219,Crafton Heights
15201,Central Lawrenceville
15205,Oakwood
15206,Homewood North
15219,East Liberty
15210,Golden Triangle/Civic Arena
15206,Upper Hill
15212,Troy Hill-Herrs Island
15213,South Oakland
15219,West Oakland
15211,Allentown
15217,Greenfield
15219,South Side Slopes
15219,Point Breeze
15220,South Shore
15219,Spring Garden
15219,East Hills
15219,Brookline
15219,Outside County
15208,Hazelwood
15233,Garfield
15233,Allegheny West
15232,Friendship
15231,East Allegheny
15233,Fairywood
15233,Golden Triangle/Civic Arena
15221,Homewood North
15219,Westwood
15219,Central Lawrenceville
15219,Perry South
15222,Beechview
15226,Bon Air
15205,Westwood
15221,Greenfield
15210,St. Clair
15201,Stanton Heights
15219,Squirrel Hill South
15206,Golden Triangle/Civic Arena
15204,Esplen
15203,Beechview
15219,Morningside
15213,West Oakland
15219,Garfield
15204,Fairywood
15224,Banksville
15219,Squirrel Hill North
15206,Shadyside
15212,Spring Garden
15213,Shadyside
15219,Allentown
15222,Lincoln-Lemington-Belmar
15221,Outside City
15221,East Liberty
15228,Larimer
15208,Bluff
15219,Upper Hill
15219,Larimer
15216,Carrick
15233,Morningside
15219,Mt. Oliver Neighborhood
15204,Golden Triangle/Civic Arena
